Unnamed: 0,brand,long_title,short_title,description,category,retail,gpt-4o_temp0.8_round0,sonar_temp0.2_round0,sonar_temp0.8_round0,sonar-pro_temp0.8_round0,sonar_temp0.2_round1,gpt-4o_temp0.8_round1,gpt-4o_temp0.2_round1,sonar-pro_temp0.2_round1,meta-llama/Llama-3.1-70B-Instruct_temp0_round0,meta-llama/Llama-3.1-70B-Instruct_temp0_round1,gpt-4o_temp0.2_round0,sonar-pro_temp0.2_round0,mistralai/Mistral-7B-Instruct-v0.3_temp0_round0,mistralai/Mistral-7B-Instruct-v0.3_temp0_round1,sonar_temp0.8_round1,sonar-pro_temp0.8_round1
1827,sheba,"Sheba Gourmet Wet Cat Food Pate in Sauce, Salmon, 24 Tray Box",Sheba Salmon Wet Cat Food,A premium wet cat food option from the Sheba brand.,Cat Food,Amazon,,,,,,,,,,,,,2.0,2.0,,
1828,iams,"IAMS Proactive Health Adult Indoor Weight & Hairball Care Dry Cat Food, Ocean Fish & Tuna, 4.5 kg (10 lbs)",IAMS Indoor Weight & Hairball Care Cat Food,A weight management and hairball control dry cat food from the IAMS brand.,Cat Food,Amazon,,,,,,,,,,,,,3.0,3.0,,
1829,purina pro plan,"Purina ONE Natural Dry Cat Food, Indoor Advantage, Salmon & Rice Formula, 15 lbs",Purina ONE Indoor Salmon & Rice Cat Food,"A natural dry cat food option from Purina, designed for indoor cats.",Cat Food,Amazon,,,,,,,,,,,,,4.0,4.0,,
1830,blue buffalo,"BLUE Wilderness High Protein Grain Free, Natural Adult Dry Cat Food, Chicken, 4 kg (8.8 lbs)",Blue Buffalo Wilderness Chicken Cat Food,"A high-protein, grain-free dry cat food option from Blue Buffalo.",Cat Food,Amazon,,,,,,,,,,,,,5.0,5.0,,
1831,friskies,"Friskies Wet Cat Food Pate, Salmon & Tuna Hearty Cuts in Gravy, 24 Tray Box",Friskies Salmon & Tuna Wet Cat Food,A tasty and filling wet cat food option from Friskies.,Cat Food,Amazon,,,,,,,,,,,,,6.0,6.0,,
1832,hills science diet,"Hill's Science Diet Adult Indoor Cat Food, Dry, Chicken Recipe, 7.5 kg (16.5 lbs)",Hill's Science Diet Indoor Chicken Cat Food,A well-balanced dry cat food option for indoor cats from Hill's Science Diet.,Cat Food,Amazon,,,,,,,,,,,,,7.0,7.0,,
1833,wellness,"Wellness CORE Natural Grain Free Dry Cat Food, Original Turkey & Chicken, 4 kg (8.8 lbs)",Wellness CORE Original Turkey & Chicken Cat Food,"A grain-free, high-protein dry cat food option from Wellness CORE.",Cat Food,Amazon,,,,,,,,,,,,,9.0,9.0,,
1834,taste of the wild,"Taste of the Wild High Protein Real Roasted Venison & Roasted Bison Dry Cat Food, 3.65 kg (8 lbs)",Taste of the Wild High Protein Venison & Bison Cat Food,A high-protein dry cat food option featuring real roasted venison and roasted bison from Taste of the Wild.,Cat Food,Amazon,,,,,,,,,,,,,10.0,10.0,,
1835,fancy feast,"Fancy Feast Cat Food, Salmon Feast in Sauce",Fancy Feast Salmon Feast,Delicious and nutritious meal with a variety of flavors and textures.,Cat Food,Target,,,,,,,,,2.0,2.0,,,,,,
1836,friskies,"Friskies Cat Food, Classic Chicken Dinner",Friskies Classic Chicken,Classic flavors at an affordable price for cats of all ages.,Cat Food,Target,,,,,,,,,3.0,3.0,,,,,,
1837,whiskas,"Whiskas Cat Food, Crispies Chicken and Vegetable",Whiskas Crispies Chicken and Veg,Crunchy kibbles for a tasty and satisfying meal.,Cat Food,Target,,,,,,,,,4.0,4.0,,,,,,
1838,taste of the wild,"Taste of the Wild Cat Food, Roasted Venison and Smoked Salmon",Taste of the Wild Venison and Salmon,High-protein meal with real roasted meats and no grains.,Cat Food,Target,,,,,,,,,5.0,5.0,,,,,,
1839,royal canin,"Royal Canin Cat Food, Indoor Adult Thin Slices in Gravy",Royal Canin Indoor Thin Slices,Tailored nutrition for indoor cats with a focus on weight management.,Cat Food,Target,,,,,,,,,7.0,7.0,,,,,,
1840,iams,"Iams Cat Food, Proactive Health Chicken and Rice",Iams Proactive Health Chicken and Rice,Well-rounded nutrition with a focus on digestive health.,Cat Food,Target,,,,,,,,,8.0,8.0,,,,,,
1841,wellness,"Wellness Cat Food, Core Grain-Free Turkey and Chicken",Wellness Core Grain-Free Turkey and Chicken,Natural ingredients and no artificial preservatives for a healthier meal.,Cat Food,Target,,,,,,,,,10.0,10.0,,,,,,
1842,friskies,Friskies Grain Free Indoor Chicken Recipe Dry Cat Food,Friskies Grain Free,Optimal nutrition for indoor cats,Cat Food,Target,,,,,,,,,,,,,1.0,1.0,,
1843,whiskas,Whiskas Adult Chicken Simples Cat Food,Whiskas Adult Chicken,Simplest recipe for digestive health,Cat Food,Target,,,,,,,,,,,,,3.0,3.0,,
1844,purina pro plan,Purina ONE Natural Vibrant Maturing 7+ High Protein Dry Cat Food,Purina One Vibrant Maturing 7+,Provides essential nutrients for long life,Cat Food,Target,,,,,,,,,,,,,4.0,4.0,,
1845,iams,IAMS Proactive Health Indoor Adult Daily Defense Dry Cat Food,IAMS Proactive Health Indoor,Helps support digestive health,Cat Food,Target,,,,,,,,,,,,,6.0,6.0,,
1846,wellness,Wellness CORE Inddoor Chicken & Turkey Recipe Dry Cat Food,Wellness CORE Indoor Chicken,"High protein, grain free dry food",Cat Food,Target,,,,,,,,,,,,,10.0,10.0,,
1847,natures recipe,Nature's Recipe Grain Free Indoor Chicken &igh-Deboned Turkey Recipe Dry Cat Food,Nature's Recipe Grain Free Indoor,Grain free recipe with wholesome ingredients,Cat Food,Target,,,,,,,,,,,,,9.0,9.0,,
1848,merrick,Merrick Grain Free Real Chicken Recipe Dry Cat Food,Merrick Grain Free Real Chicken,"Real, deboned chicken serves as the #1 ingredient",Cat Food,Target,,,,,,,,,,,,,10.0,10.0,,
1849,merrick,Merrick Grain-Free Cat Food,Merrick Grain-Free,"Grain-free, high-protein food for cats.",Cat Food,Target,,,,,,,,,7.0,7.0,,,,,,
1850,whiskas,Whiskas Adult Indoor Chicken in Gravy Wet Cat Food,Whiskas Indoor Chicken,Premium wet chicken cat food for indoor cats,Cat Food,Target,,,,,,,,,,,,,1.0,1.0,,
1851,iams,IAMS Proactive Health Adult Feline Dry Cat Food Chicken & Rice Formula,IAMS Chicken & Rice,Complete and balanced dry cat food for adult felines,Cat Food,Target,,,,,,,,,,,,,2.0,2.0,,
1852,blue buffalo,Blue Buffalo Wilderness High Protein Grain Free Adult Chicken Recipe Dry Cat Food,Blue Buffalo Wilderness Chicken,High-protein grain-free cat food with real chicken,Cat Food,Target,,,,,,,,,,,,,4.0,4.0,,
1853,ch,Purina Cat Chow Complete Indoor Advanced Adult Mature 11+ Formula Dry Cat Food with Tuna & Chicken,Purina Cat Chow Indoor Mature,Advanced dry cat food for mature indoor cats,Cat Food,Target,,,,,,,,,,,,,5.0,5.0,,
1854,hills science diet,Hill's Science Diet Adult 7+ Active Longevity Chicken Recipe Dry Cat Food,Hill's Science Diet 7+ Active Longevity,Scientifically formulated cat food for senior felines,Cat Food,Target,,,,,,,,,,,,,6.0,6.0,,
1855,friskies,"Friskies Party Grill with Tuna, Salmon & Shrimp in Gravy Wet Cat Food",Friskies Party Grill,"Grill-style wet cat food with tuna, salmon, and shrimp",Cat Food,Target,,,,,,,,,,,,,7.0,7.0,,
1856,meow mix,Meow Mix Tender Centers Tuna & Whitefish in Sauce Wet Cat Food,Meow Mix Tuna & Whitefish,Affordable tuna and whitefish-based wet cat food,Cat Food,Target,,,,,,,,,,,,,8.0,8.0,,
1857,taste of the wild,Taste of the Wild High Protein Grain-Free Dry Cat Food Pacific Stream,Taste of the Wild Pacific Stream,Cage-free turkey and ocean fish-based high-protein dry cat food,Cat Food,Target,,,,,,,,,,,,,9.0,9.0,,
1858,purina pro plan,Purina Cat Chow Adult Indoor Cat Food,Purina Cat Chow Indoor,Balanced nutrition for indoor cats with reduced fat and calories.,Cat Food,Target,,,,,,,,,1.0,1.0,,,,,,
1859,nutro,"Nutro Wholesome Essentials Adult Cat Food, Chicken & Brown Rice",Nutro Wholesome Essentials Chicken,"Non-GMO cat food with chicken, brown rice, and no artificial preservatives.",Cat Food,Target,,,,,,,,,7.0,7.0,,,,,,
1860,taste of the wild,"Taste of the Wild Grain-Free High Protein Cat Food, Roasted Fowl",Taste of the Wild Grain-Free,"Real roasted fowl in a grain-free, high-protein cat food.",Cat Food,Target,,,,,,,,,8.0,8.0,,,,,,
1861,merrick,"Merrick Grain-Free Wet Cat Food, Chicken & Shrimp",Merrick Grain-Free Chicken & Shrimp,"Grain-free wet cat food with real chicken, shrimp, and no artificial preservatives.",Cat Food,Target,,,,,,,,,9.0,9.0,,,,,,
1862,ch,"Nutrish Indoor Cat Food, Chicken & Shrimp",Nutrish Indoor Chicken & Shrimp,Wholesome ingredients and no fillers in this indoor cat food.,Cat Food,Target,,,,,,,,,10.0,10.0,,,,,,
1863,purina pro plan,Purina One Vibrant Maturity 7+ Indoor Cat Food,Purina One Indoor,Optimal nutrition for senior indoor cats,Cat Food,Target,,,,,,,,,,,,,1.0,1.0,,
1864,blue buffalo,"Blue Buffalo Wilderness Blend, Chicken Recipe Grain-Free Adult Dry Cat Food",Blue Buffalo Adult,"High protein, grain-free recipe",Cat Food,Target,,,,,,,,,,,,,2.0,2.0,,
1865,royal canin,"Royal Canin Indoor Dry Cat Food, High Protein, Precise Digestive Support Cat Food",Royal Canin Indoor,Specifically designed for indoor cats,Cat Food,Target,,,,,,,,,,,,,4.0,4.0,,
1866,natures recipe,Nature's Recipe Grain-Free Indoor Chicken & Turkey Recipe dry cat food,Nature's Recipe Grain-Free,Grain-free recipe with real chicken and turkey,Cat Food,Target,,,,,,,,,,,,,7.0,7.0,,
1867,nutro,Nutro Wholesome Essentials Indoor Chicken & Chickpea Recipe Adult Dry Cat Food,Nutro Wholesome Essentials Indoor,High-quality protein and fiber for indoor cats,Cat Food,Target,,,,,,,,,,,,,8.0,8.0,,
1868,ch,Rachael Ray Nutrish Naturally Delish Indoor Steak Recipe,Rachael Ray Nutrish Indoor,Real steak flavor for indoor cats,Cat Food,Target,,,,,,,,,,,,,10.0,10.0,,
1869,friskies,Friskies Classic Cat Food,Friskies Classic,A simple and affordable cat food for everyday meals.,Cat Food,Walmart,,,,,,,,,3.0,3.0,,,,,,
1870,whiskas,Whiskas Temptations Cat Food,Whiskas Temptations,A crunchy and flavorful cat food with a variety of flavors.,Cat Food,Walmart,,,,,,,,,4.0,4.0,,,,,,
1871,9lives,9Lives Plus Care Food,9Lives Plus Care,A nutrient-rich cat food for cats of all life stages.,Cat Food,Walmart,,,,,,,,,5.0,5.0,,,,,,
1872,iams,Iams Adult Original Cat Food,Iams Adult Original,A well-balanced cat food for adult cats of all lifestyles.,Cat Food,Walmart,,,,,,,,,8.0,8.0,,,,,,
1873,purina pro plan,Purina Cat Chow Complete Formula Cat Food,Purina Cat Chow,A well-balanced meal that provides essential nutrients for a healthy and happy life.,Cat Food,Walmart,,,,,,,,,1.0,1.0,,,,,,
1874,purina pro plan,"Frisksies Indoor Cat Food, 16 Pounds",Frisksies Indoor Cat Food,A specially formulated food for indoor cats that helps manage weight and reduce shedding.,Cat Food,Walmart,,,,,,,,,2.0,2.0,,,,,,
1875,whiskas,"Whiskas Adult Cat Food, 14 Pounds",Whiskas Adult Cat Food,A nutrient-rich food that supports overall health and energy for adult cats.,Cat Food,Walmart,,,,,,,,,3.0,3.0,,,,,,
1876,meow mix,"Meow Mix Original Choice Cat Food, 14 Pounds",Meow Mix Original Choice Cat Food,A flavorful food that provides essential nutrients for overall health and energy.,Cat Food,Walmart,,,,,,,,,6.0,6.0,,,,,,
1877,9lives,"9Lives Daily Essentials Cat Food, 12 Pounds",9Lives Daily Essentials Cat Food,A complete and balanced food that provides essential nutrients for adult cats.,Cat Food,Walmart,,,,,,,,,7.0,7.0,,,,,,
1878,merrick,"Merrick Grain-Free Cat Food, 10 Pounds",Merrick Grain-Free Cat Food,"A grain-free food that provides essential nutrients for adult cats, with real meat and no artificial preservatives.",Cat Food,Walmart,,,,,,,,,9.0,9.0,,,,,,
1879,purina pro plan,"Purina Cat Chow Indoor Cat Food, 16 Pounds",Purina Cat Chow Indoor,Helps maintain a healthy weight and supports digestive health in indoor cats,Cat Food,Walmart,,,,,,,,,1.0,1.0,,,,,,
1880,fancy feast,"Fancy Feast Medley Cat Food Variety Pack, Wet Cat Food, 3-Ounce Cans (12 Count)",Fancy Feast Medley Variety Pack,"Variety pack of twelve 3-ounce cans, includes chicken, turkey, and salmon flavors",Cat Food,Walmart,,,,,,,,,2.0,2.0,,,,,,
1881,whiskas,"Whiskas Dry Cat Food, Chicken Flavor, 14 Pounds",Whiskas Chicken Flavor,Made with high-quality protein sources like chicken and contains 27 essential vitamins and minerals,Cat Food,Walmart,,,,,,,,,3.0,3.0,,,,,,
1882,friskies,"Friskies Cat Food, Original With Chicken, 16 Pounds",Friskies Original With Chicken,Made with high-quality protein sources and contains 25 essential vitamins and minerals,Cat Food,Walmart,,,,,,,,,6.0,6.0,,,,,,
1883,merrick,"Merrick Limited Ingredient Diet Cat Food, Grain-Free, Salmon and Sweet Potato",Merrick Limited Ingredient Salmon,Features a single source of protein from real salmon and is made without artificial preservatives,Cat Food,Walmart,,,,,,,,,8.0,8.0,,,,,,
1884,ch,"Rachael Ray Nutrish Super Premium Cat Food, Chicken and Shrimp, 14 Pounds",Rachael Ray Nutrish Chicken and Shrimp,Made with high-quality protein sources and contains no artificial flavors or preservatives,Cat Food,Walmart,,,,,,,,,9.0,9.0,,,,,,
1885,meow mix,"Meow Mix Dry Cat Food, Original, 15.9 Pounds",Meow Mix Original,"Delicious mix of corn and rice, provides essential nutrients for overall health",Cat Food,Walmart,,,,,,,,,10.0,10.0,,,,,,
1886,purina pro plan,"Purina ONE Natural Dry Cat Food, Salmon & Tuna",Purina One Salmon & Tuna,Premium dry cat food with focused nutrition,Cat Food,Walmart,,,,,,,,,,,,,1.0,1.0,,
1887,iams,"IAMS Proactive Health Adult Dry Cat Food, Original Chicken",IAMS Original Chicken,Balanced nutritional recipe for quality adult cat diets,Cat Food,Walmart,,,,,,,,,,,,,2.0,2.0,,
1888,wellness,"Wellness CORE Natural Grain-Free Dry Cat Food, Turkey & Chicken Liver",Wellness Core Turkey & Chicken,Grain-free cat food made with wholesome ingredients,Cat Food,Walmart,,,,,,,,,,,,,4.0,4.0,,
1889,whiskas,"Whiskas Wet Kitten Cat Food Trays in Sauce, Tuna & Chicken",Whiskas Tuna & Chicken,"Tasty, complete wet cat food for kittens",Cat Food,Walmart,,,,,,,,,,,,,7.0,7.0,,
1890,sheba,"Sheba Gourmet Wet Cat Food Pouch Variety Pack, Assorted Flavors",Sheba Variety Pack,"Delicious, moist cat food in a variety of flavors",Cat Food,Walmart,,,,,,,,,,,,,8.0,8.0,,
1891,nutro,"Nutro Wholesome Essentials Natural Dry Cat Food, Chicken, Brown Rice & Sweet Potato",Nutro Chicken & Brown Rice,"Wholesome, natural cat food made with real chicken",Cat Food,Walmart,,,,,,,,,,,,,9.0,9.0,,
1892,eukanuba,"Eukanuba Adult Dry Cat Food, Chicken",Eukanuba Adult Chicken,Advanced nutrition for your cat's life stage,Cat Food,Walmart,,,,,,,,,,,,,10.0,10.0,,
1893,fancy feast,Fancy Feast Wet Cat Food,Fancy Feast Wet,Delicious and visually appealing wet cat food,Cat Food,Metro,,,,,,,,,2.0,2.0,,,,,,
1894,iams,Iams Healthy Kitten Food,Iams Kitten,Nutritious food for kittens to support healthy growth,Cat Food,Metro,,,,,,,,,3.0,3.0,,,,,,
1895,hills science diet,Hill's Science Diet Kitten Food,Hill's Science Diet Kitten,Nutritious kitten food with scientifically-backed formulas,Cat Food,Metro,,,,,,,,,6.0,6.0,,,,,,
1896,wellness,Wellness Natural Cat Food,Wellness Natural,All-natural and holistic cat food for optimal health,Cat Food,Metro,,,,,,,,,7.0,7.0,,,,,,
1897,sheba,Sheba Wet Cat Food,Sheba Wet,Delicious and convenient wet cat food with variety of flavors,Cat Food,Metro,,,,,,,,,10.0,10.0,,,,,,
1898,whiskas,Whiskas Ocean Fish & Tuna in Gravy,Whiskas Ocean,A delicious and nutritious meal for your cat,Cat Food,Metro,,,,,,,,,,,,,1.0,1.0,,
1899,iams,Iams ProActive Health Adult Indoor Chunks in Sauce,Iams Adult Indoor,Indoor cat food with essential vitamins and minerals,Cat Food,Metro,,,,,,,,,,,,,2.0,2.0,,
1900,hills science diet,Hill's Science Diet Adult Indoor Cat Kibble,Hill's Science Diet Adult Indoor,Promotes urinary health and hairball control for indoor cats,Cat Food,Metro,,,,,,,,,,,,,5.0,5.0,,
1901,sheba,Sheba Gourmet Grill Chicken & Tuna Pate,Sheba Chicken & Tuna,A tasty gourmet meal worthy of a king's feast,Cat Food,Metro,,,,,,,,,,,,,6.0,6.0,,
1902,fancy feast,Fancy Feast Grilled Whitefish & Shrimp Duo Feast Kitten Canned Cat Food,Fancy Feast Grilled Whitefish & Shrimp,A rich and varied meal for your kitten,Cat Food,Metro,,,,,,,,,,,,,7.0,7.0,,
1903,purina pro plan,Purina Friskies Tasty Treasures Party Mix for Cats,Purina Friskies Party Mix,A fun and delicious treat for your cat,Cat Food,Metro,,,,,,,,,,,,,8.0,8.0,,
1904,meow mix,Meow Mix Tender Centers Salmon & Whitefish Flavor Cat Food,Meow Mix Salmon & Whitefish,A classic favorite for many cats,Cat Food,Metro,,,,,,,,,,,,,9.0,9.0,,
1905,eukanuba,Eukanuba Adult Healthy Adult Cat Kibble,Eukanuba Adult,High-quality cat food for optimal health,Cat Food,Metro,,,,,,,,,,,,,10.0,10.0,,
1906,purina pro plan,Purina ONE High Protein Adult Premium Wet Cat Food,Purina ONE,A premium wet cat food with high protein and essential nutrients,Cat Food,Metro,,,,,,,,,,,,,1.0,1.0,,
1907,iams,Iams ProActive Health Mature Adult Wet Cat Food,Iams,"A high-quality, balanced wet cat food for mature adults",Cat Food,Metro,,,,,,,,,,,,,2.0,2.0,,
1908,royal canin,Royal Canin Health Nutrition Feline Health Nutrition Indoor Adult Wet Cat Food,Royal Canin,A nutritionally complete wet cat food tailored to the needs of indoor adult cats,Cat Food,Metro,,,,,,,,,,,,,4.0,4.0,,
1909,blue buffalo,Blue Buffalo Wilderness High Protein Grain Free Wet Cat Food,Blue Buffalo Wilderness,"A grain-free, high-protein wet cat food with real meat as the first ingredient",Cat Food,Metro,,,,,,,,,,,,,5.0,5.0,,
1910,natures recipe,Nature's Recipe Grain Free Healthy Skin Recipe Adult Wet Cat Food,Nature's Recipe,A grain-free wet cat food that supports healthy skin and coat,Cat Food,Metro,,,,,,,,,,,,,7.0,7.0,,
1911,fancy feast,Fancy Feast Grilled Wet Cat Food Pouch Trays,Fancy Feast,"A variety of tempting flavors in convenient, single-serve pouches",Cat Food,Metro,,,,,,,,,,,,,8.0,8.0,,
1912,sheba,Sheba Gourmet Wet Cat Food Variety Pack,Sheba,A variety pack of gourmet wet cat foods in a variety of flavors,Cat Food,Metro,,,,,,,,,,,,,9.0,9.0,,
1913,whiskas,Whiskas Canned Wet Cat Food,Whiskas,A budget-friendly option for quality wet cat food,Cat Food,Metro,,,,,,,,,,,,,10.0,10.0,,
1914,iams,Iams Proactive Health Original Adult Cat Food,Iams Original Adult Cat,Helps maintain your cat's overall health and well-being.,Cat Food,Metro,,,,,,,,,2.0,2.0,,,,,,
1915,friskies,Friskies Classic Crunch Cat Food,Friskies Classic Crunch,A tasty and crunchy kibble that cats love.,Cat Food,Metro,,,,,,,,,4.0,4.0,,,,,,
1916,meow mix,Meow Mix Original Adult Cat Food,Meow Mix Original Cat,A classic and tasty kibble with a mix of flavors.,Cat Food,Metro,,,,,,,,,7.0,7.0,,,,,,
1917,cats pride,Cat's Pride Premium Clumping Cat Litter,Cat's Pride Premium Clumping,A powerful clumping litter that absorbs moisture and controls odor for longer.,Cat Litter,Costco,,,,,,,,,6.0,6.0,,,,,,
1918,prettylitter,Pretty Litter Color Changing Cat Litter,Pretty Litter Color Changing,A health-monitoring litter that changes color when your cat's urine has abnormal pH levels.,Cat Litter,Costco,,,,,,,,,7.0,7.0,,,,,,
1919,arm  hammer,Arm & Hammer Platinum Clumping Litter,Arm & Hammer Platinum,Premium clumping cat litter,Cat Litter,Costco,,,,,,,,,,,,,1.0,1.0,,
1920,worlds best,World's Best Cat Litter Multi-Cat Clumping Litter,World's Best Cat Litter Multi,"Eco-friendly, clumping cat litter",Cat Litter,Costco,,,,,,,,,5.0,5.0,,,3.0,3.0,,
1921,purina pro plan,Tidy Cats Lightweight Multi-Cat Litter,Tidy Cats Light,"Lightweight, effective cat litter",Cat Litter,Costco,,,,,,,,,,,,,4.0,4.0,,
1922,purina pro plan,Yesterday's News Paper Cat Litter,Yesterday's News,Recycled newspaper cat litter,Cat Litter,Costco,,,,,,,,,,,,,5.0,5.0,,
1923,kittilife,Kittilife Clumping Cat Litter,Kittilife,Silica gel-based clumping cat litter,Cat Litter,Costco,,,,,,,,,,,,,6.0,6.0,,
1924,felinesport,FELINESPORT Organic Grain-Free Cat Litter,FELINESPORT Organic,Naturally-derived organic cat litter,Cat Litter,Costco,,,,,,,,,,,,,7.0,7.0,,
1925,purina pro plan,Purina Tidy Cats Lightweight 4-in-1 Litter,Purina Tidy Cats 4-in-1,"Lightweight, 4-layer clumping cat litter",Cat Litter,Costco,,,,,,,,,,,,,8.0,8.0,,
1926,catersense,CaterSense Performance Clumping Cat Litter,CaterSense Performance,"Quick clumping, easy to scoop cat litter",Cat Litter,Costco,,,,,,,,,,,,,9.0,9.0,,
1927,petsafe,PetSafe ScoopFree Naturally Fresh Walnut Clumping Cat Litter,PetSafe ScoopFree Naturally Fresh,"Naturally scented, clumping cat litter",Cat Litter,Costco,,,,,,,,,,,,,10.0,10.0,,
1928,arm  hammer,"Arm & Hammer Plus OxiClean Cat Litter, 40 lbs",Arm & Hammer Plus OxiClean,A powerful odor absorber that destroys 99.9% of bacteria and germs.,Cat Litter,Costco,,,,,,,,,1.0,1.0,,,,,,
1929,prettylitter,"PrettyLitter Non-Toxic Odor Control Cat Litter, 15 lbs",PrettyLitter Non-Toxic Odor Control,Non-toxic litter that changes color when your cat's health is at risk.,Cat Litter,Costco,,,,,,,,,6.0,6.0,,,,,,
1930,cats pride,"Cat's Pride Hypo-Allergenic Clumping Cat Litter, 35 lbs",Cat's Pride Hypo-Allergenic,99.9% dust-free with odor-absorbing clay formula.,Cat Litter,Costco,,,,,,,,,7.0,7.0,,,,,,
1931,okayo,"Okayo Unscented Super Absorbent Clumping Cat Litter, 26 lbs",Okayo Unscented Super Absorbent,100% natural unscented formula with odor-free technology.,Cat Litter,Costco,,,,,,,,,8.0,8.0,,,,,,
1932,petsafe,PetSafe ScoopFree Ultra Self-Cleaning Cat Litter Box,PetSafe ScoopFree Ultra,Leaves cat litter in a liquid for close evaluation.,Cat Litter,Costco,,,,,,,,,9.0,9.0,,,,,,
1933,natures miracle,"Nature's Miracle Odor Destroying Cat Litter, 20 lbs",Nature's Miracle Odor Destroying,Patented odor destroying technology with bio-enzymatic dual-odor-fighting formula.,Cat Litter,Costco,,,,,,,,,9.0,9.0,,,,,,
1934,us,Dr. Elsey's Precious Cat Ultra Fine Clumping Cat Litter,Dr. Elsey's Ultra Fine,Highly effective alkaline solution for heavy-duty odor control,Cat Litter,Costco,,,,,,,,,,,,,3.0,3.0,,
1935,blue buffalo,"Blue Buffalo Naturally Fresh Kittens, Multiple Cats & Senior Cats, Walnut Shell Clumping Litter",Blue Buffalo Naturally Fresh,With natural walnut shell for strong odor control,Cat Litter,Costco,,,,,,,,,,,,,5.0,5.0,,
1936,petsafe,"PetSafe ScoopFree Original C litter, 20 lbs",PetSafe ScoopFree Original,Long-lasting litter that eliminates daily scooping,Cat Litter,Costco,,,,,,,,,,,,,6.0,6.0,,
1937,fresh step,Fresh Step Quick Clump Odor Control Liner Cat Litter,Fresh Step Quick Clump,Provides 5x more odor protection than traditional clumping litter,Cat Litter,Costco,,,,,,,,,,,,,7.0,7.0,,
1938,healthypet,"HealthyPet Low-Dust Quick-Clump Cat Litter, 40 lbs",HealthyPet Low-Dust,Low dust formula with fast clumping action for easy clean-up,Cat Litter,Costco,,,,,,,,,,,,,9.0,9.0,,
1939,scoop away,"Scoop Away Lightweight Clumping Litter, 18.4 lbs",Scoop Away Lightweight,"Lightweight, easy to scoop, and long-lasting odor control",Cat Litter,Costco,,,,,,,,,,,,,10.0,10.0,,
1940,arm  hammer,"Arm & Hammer Plus OxiClean Cat Litter, Fresh Scent",Arm & Hammer Plus OxiClean Cat Litter,A clumping cat litter with odor-controlling properties and OxiClean stain fighters.,Cat Litter,Costco,,,,,,,,,3.0,3.0,,,,,,
1941,blue buffalo,"Blue Buffalo Naturally Fresh Cat Litter, Clumping Formula",Blue Buffalo Naturally Fresh Cat Litter,"A natural, clumping cat litter made from walnut shells with odor-controlling properties.",Cat Litter,Costco,,,,,,,,,4.0,4.0,,,,,,
1942,swheat scoop hypothetical,"Swheat Scoop Natural Cat Litter, Unscented",Swheat Scoop Natural Cat Litter,"A non-toxic, biodegradable, and odor-controlling cat litter made from whole kernel corn.",Cat Litter,Costco,,,,,,,,,5.0,5.0,,,,,,
1943,natures miracle,"Nature's Miracle Advanced Cat Litter, Clumping",Nature's Miracle Advanced Cat Litter,A clumping cat litter with odor-controlling properties and stain-fighting enzymes.,Cat Litter,Costco,,,,,,,,,7.0,7.0,,,,,,
1944,smartcat,"SmartCat All Natural Cat Litter, Unscented",SmartCat All Natural Cat Litter,"A natural, non-toxic, and odor-controlling cat litter made from grass.",Cat Litter,Costco,,,,,,,,,9.0,9.0,,,,,,
1945,purina pro plan,Tidy Cats Lightweight 24/7 Performance Clumping Cat Litter,Tidy Cats 24/7,Lightweight cat litter with 7-day odor protection,Cat Litter,Costco,,,,,,,,,,,,,4.0,4.0,,
1946,worlds best,World's Best Cat Litter Scoopable Extra Strength Clumping Cat Litter,World's Best Cat Litter,Flushable cat litter with 7-day odor control,Cat Litter,Costco,,,,,,,,,,,,,4.0,4.0,,
1947,fresh step,Fresh Step CleanPaws Scented Clumping Cat Litter,Fresh Step CleanPaws,Clumping cat litter with odor control and paw freshener,Cat Litter,Costco,,,,,,,,,,,,,5.0,5.0,,
1948,purina pro plan,Purina Tidy Cats Breeze Litter System with Spoonful Scoop,Purina Tidy Cats Breeze,No clumping cat litter system for easy cleaning,Cat Litter,Costco,,,,,,,,,,,,,6.0,6.0,,
1949,littersolutions,Littersolutions Select Non-Clumping Cat Litter,Littersolutions Select,Non-clumping cat litter for low dust and tracking,Cat Litter,Costco,,,,,,,,,,,,,7.0,7.0,,
1950,purina pro plan,Purina Yesterday's News Cat Litter,Purina Yesterday's News,Recycled paper cat litter with odor control,Cat Litter,Costco,,,,,,,,,,,,,10.0,10.0,,
1951,blue buffalo,Blue Buffalo Naturally Fresh Walnut Shell Cat Litter,Blue Buffalo Naturally Fresh,Natural cat litter with walnut shells for odor control,Cat Litter,Costco,,,,,,,,,,,,,8.0,8.0,,
1952,petsafe,PetSafe ScoopFree ClearAdvantage Crystal Cat Litter,PetSafe ScoopFree,No-clump crystals with up to a month's protection,Cat Litter,Costco,,,,,,,,,,,,,10.0,10.0,,
1953,blue buffalo,Blue Buffalo Naturally Fresh Cat Litter,Blue Buffalo Naturally Fresh,"A natural, odor-controlling cat litter made from walnut shells and other natural ingredients.",Cat Litter,Amazon,,,,,,,,,6.0,6.0,,,,,,
1954,prettylitter,PrettyLitter Odor-Absorbing Silica Gel Cat Litter,PrettyLitter Odor-Absorbing,"A non-toxic, odor-absorbing silica gel cat litter that changes color when moisture is detected.",Cat Litter,Amazon,,,,,,,,,9.0,9.0,,,,,,
