,brand,long_title,short_title,description,category,retail,gpt-4o_temp0.8_round0,sonar_temp0.2_round0,sonar_temp0.8_round0,sonar-pro_temp0.8_round0,sonar_temp0.2_round1,gpt-4o_temp0.8_round1,gpt-4o_temp0.2_round1,sonar-pro_temp0.2_round1,meta-llama/Llama-3.1-70B-Instruct_temp0_round0,meta-llama/Llama-3.1-70B-Instruct_temp0_round1,gpt-4o_temp0.2_round0,sonar-pro_temp0.2_round0,mistralai/Mistral-7B-Instruct-v0.3_temp0_round0,mistralai/Mistral-7B-Instruct-v0.3_temp0_round1,sonar_temp0.8_round1,sonar-pro_temp0.8_round1
1682,Wellness CORE,"Wellness CORE Grain-Free Original Recipe Dry Dog Food, Turkey, Duck, and Salmon",Wellness CORE Grain-Free Original,"Grain-free, high-protein dog food",Dog Food,Amazon,,,,,,,,,,,,,4.0,4.0,,
1683,Royal Canin,Royal Canin Size Health Nutrition Medium Poodle Adult Dry Dog Food,Royal Canin Medium Poodle,"Breed-specific, balanced nutrition dog food",Dog Food,Amazon,,,,,,,,,,,,,6.0,6.0,,
1684,Eukanuba,"Eukanuba Adult Large Breed Dry Dog Food, Chicken",Eukanuba Adult Large Breed,"Large breed-specific, vitamin E & antioxidant-rich dog food",Dog Food,Amazon,,,,,,,,,,,,,7.0,7.0,,
1685,Pedigree,"Pedigree Adult Complete Nutrition Dry Dog Food, High Protein plus",Pedigree Adult High Protein Plus,"Affordable, complete nutrition dog food",Dog Food,Amazon,,,,,,,,,,,,,8.0,8.0,,
1686,Nature's Recipe,"Nature's Recipe Grain-Free Pleased to Eat Recipe Dog Food, Salmon, Pumpkin & Sweet Potato","Nature's Recipe Grain-Free Salmon, Pumpkin & Sweet Potato","Grain-free, real meat & vegetable-based dog food",Dog Food,Amazon,,,,,,,,,,,,,9.0,9.0,,
1687,Orijen,"ORIJEN High-Protein Grain-Free Dry Dog Food, Original, Boneless Chicken & Turkey, Whole Fish, Free-Run Pork, Wild Boar, Regional Fruit & Greens, Nutritious Whole Fish (Whole Herring, Whole Mackerel, Cod Liver), Bone (Whole Chicken, Chicken Necks), Liver (Chicken Liver, Turkey Liver), Fresh Regional Fruit & Vegetables, Biologically Appropriate WholePrey Ratios & NUTRIENCE",Orijen Original,"Biologically appropriate, whole prey-inspired dog food",Dog Food,Amazon,,,,,,,,,,,,,10.0,10.0,,
1688,Orijen,"Orijen Adult Dog Food, High-Protein Grain-Free Dry Dog Food",Orijen Adult Dog Food,High-protein dog food with fresh meat and no grains or fillers.,Dog Food,Amazon,,,,,,,,,1.0,1.0,,,,,,
1689,Acana,"Acana Wholesome Grains Dog Food, High-Protein, Grain-Inclusive Dry Dog Food",Acana Wholesome Grains Dog Food,High-protein dog food with fresh meat and whole grains.,Dog Food,Amazon,,,,,,,,,2.0,2.0,,,,,,
1690,Blue Buffalo,"Blue Buffalo Life Protection Formula Adult Dog Food, High-Quality Protein & Whole Grains",Blue Buffalo Life Protection Formula,"Holistic dog food with high-quality protein, whole grains, and antioxidants.",Dog Food,Amazon,,,,,,,,,3.0,3.0,,,,,,
1691,Merrick,"Merrick Grain-Free Adult Dog Food, Real Meat & No Artificial Preservatives",Merrick Grain-Free Adult Dog Food,Grain-free dog food with real meat and no artificial preservatives.,Dog Food,Amazon,,,,,,,,,5.0,5.0,,,,,,
1692,Wellness,"Wellness CORE Grain-Free Adult Dog Food, High-Protein & No Artificial Preservatives",Wellness CORE Grain-Free Adult Dog Food,"High-protein, grain-free dog food with turkey or chicken as the first ingredient.",Dog Food,Amazon,,,,,,,,,6.0,6.0,,,,,,
1693,Hill's Science Diet,"Hill's Science Diet Adult Dog Food, Perfect Weight & Skin Health",Hill's Science Diet Adult Dog Food,Scientifically formulated dog food for weight management and skin health.,Dog Food,Amazon,,,,,,,,,7.0,7.0,,,,,,
1694,Royal Canin,"Royal Canin Size Health Adult Dog Food, Customized Nutrition for Small, Medium, or Large Breeds",Royal Canin Size Health Adult Dog Food,Customized dog food for specific breed sizes with tailored nutrition.,Dog Food,Amazon,,,,,,,,,8.0,8.0,,,,,,
1695,Purina Pro Plan,"Purina Pro Plan Adult Dog Food, High-Quality Protein & Whole Grains",Purina Pro Plan Adult Dog Food,High-quality dog food with protein-rich ingredients and whole grains.,Dog Food,Amazon,,,,,,,,,9.0,9.0,,,,,,
1696,Nutro,"Nutro Wholesome Essentials Adult Dog Food, High-Quality Protein & Whole Grains",Nutro Wholesome Essentials Adult Dog Food,"Holistic dog food with high-quality protein, whole grains, and no artificial preservatives.",Dog Food,Amazon,,,,,,,,,10.0,10.0,,,,,,
1697,Wellness,"Wellness Complete Health Adult Deboned Chicken, Oatmeal & Salmon Meal Recipe Dry Dog Food, 12-lb Bag",Wellness Adult Chicken,"Nutrient-rich, grain-inclusive formula for a balanced diet",Dog Food,Amazon,,,,,,,,,,,,,2.0,2.0,,
1698,Rachael Ray Nutrish,"Rachael Ray Nutrish Natural Dry Dog Food Real Chicken & Vegetables Recipe, 15-lb Bag",Rachael Ray Nutrish Real Chicken,Natural recipe with real chicken and wholesome vegetables,Dog Food,Amazon,,,,,,,,,,,,,3.0,3.0,,
1699,Purina Pro Plan Focus,"Purina Pro Plan Focus SAVOR Adult 7+ Weight Management Formula Dry Dog Food, 30-lb Bag",Purina Pro Plan Focus 7+ Weight Management,"High-protein, low-fat diet for older dogs managing weight",Dog Food,Amazon,,,,,,,,,,,,,4.0,4.0,,
1700,Merrick,"Merrick Classic Health Adult Dry Dog Food Recipe with Real Deboned Chicken, 30 lb Bag",Merrick Classi Health Adult Chicken,"High-protein, grain-free recipe for adult dogs",Dog Food,Amazon,,,,,,,,,,,,,5.0,5.0,,
1701,Hill's Science Diet,"Hill's Science Diet Adult Advanced Fitness Small & Toy Breed Dry Dog Food, 7 lbs",Hills Science Diet Adult Fitness Small/Toy,"High-protein, high-fiber formula for small and toy breeds",Dog Food,Amazon,,,,,,,,,,,,,3.0,3.0,,
1702,Pedigree,"Pedigree Adult Complete Nutrition Dry Kibble for Dogs, Real Chicken & Vegetable Flavor, 40-lb",Pedigree Adult Complete Nutrition Chicken & Veg,"Affordable, balanced nutrition for adult dogs",Dog Food,Amazon,,,,,,,,,,,,,7.0,7.0,,
1703,IAMS ProActive Health,"IAMS ProActive Health Adult Large Breed Dry Dog Food, Real Chicken & Vegetables Recipe, 34-lb Bag",IAMS ProActive Health Large Breed,Specifically formulated for large breed adult dogs,Dog Food,Amazon,,,,,,,,,,,,,8.0,8.0,,
1704,Eukanuba,"Eukanuba Adult Maintenance Dry Dog Food, Large Breed Formula, Chicken & Vegetable, 32-lb",Eukanuba Large Breed,Optimal nutrition for large breed adult dogs,Dog Food,Amazon,,,,,,,,,,,,,9.0,9.0,,
1705,Nature's Recipe,"Nature's Recipe Indoor Adult Dry Dog Food, Real Chicken & Sweet Potato Recipe, 16-lb",Nature's Recipe Indoor Adult Chicken & Sweet Potato,Specially formulated for indoor adult dogs,Dog Food,Amazon,,,,,,,,,,,,,10.0,10.0,,
1706,Purina Pro Plan,"Purina Pro Plan High Protein Adult Dog Food, Turkey & Sweet Potato Recipe",Purina Pro Plan Adult Turkey & Sweet Potato,"A nutrient-rich, high-protein dog food with real turkey as the first ingredient.",Dog Food,Amazon,,,,,,,,,2.0,2.0,,,,,,
1707,Royal Canin,"Royal Canin Indoor Adult Dog Food, Optimal Weight Formula",Royal Canin Indoor Adult,"A balanced, weight management dog food designed for indoor dogs.",Dog Food,Amazon,,,,,,,,,3.0,3.0,,,,,,
1708,Merrick,"Merrick Grain-Free Adult Dog Food, Salmon & Sweet Potato Recipe",Merrick Grain-Free Salmon & Sweet Potato,"A grain-free, high-protein dog food with real salmon as the first ingredient.",Dog Food,Amazon,,,,,,,,,5.0,5.0,,,,,,
1709,Nutro,"Nutro Ultra Holistic Superfood Adult Dog Food, Chicken & Lamb Recipe",Nutro Ultra Holistic Chicken & Lamb,"A holistic, antioxidant-rich dog food with chicken and lamb as the first ingredients.",Dog Food,Amazon,,,,,,,,,7.0,7.0,,,,,,
1710,Iams,"Iams ProActive Health Adult Dog Food, Chicken & Rice Recipe",Iams Adult Chicken & Rice,"A balanced, easy-to-digest dog food with chicken as the first ingredient.",Dog Food,Amazon,,,,,,,,,9.0,9.0,,,,,,
1711,Purina ONE,"Purina ONE SmartBlend Adult Dog Food, Chicken & Rice Formula",Purina ONE SmartBlend Chicken & Rice,A nutrient-rich dog food with real chicken as the first ingredient.,Dog Food,Amazon,,,,,,,,,10.0,10.0,,,,,,
1712,Frisco,Frisco High Fiber Adult Dog Food,Frisco High Fiber,High fiber dog food for healthy digestion,Dog Food,Target,,,,,,,,,2.0,2.0,,,,,,
1713,Iams,Iams Adult Minichunks Dog Food,Iams Minichunks,Nutritious adult dog food with a delicious taste,Dog Food,Target,,,,,,,,,2.0,2.0,,,,,,
1714,Rachel Ray Nutrish,Rachel Ray Nutrish Bright Life Adult Dog Food,Nutrish Bright Life,Natural ingredients and essential vitamins for a healthy dog,Dog Food,Target,,,,,,,,,4.0,4.0,,,,,,
1715,Purina,Purina Pro Plan High Protein Formula Dry Dog Food,Purina Pro Plan High Protein,High protein dog food formulated for optimal nutrition.,Dog Food,Target,,,,,,,,,1.0,1.0,,,,,,
1716,Hill's Science Diet,Hill's Science Diet Adult 1-2 Years Small & Toy Breed Dry Dog Food,Hill's Science Diet Small & Toy,Nutritious dog food formulated for small and toy breeds.,Dog Food,Target,,,,,,,,,3.0,3.0,,,,,,
1717,Royal Canin,Royal Canin Size Health Puppy Small Breed Dry Dog Food,Royal Canin Small Breed,Nutrient-rich dog food designed for small breed puppies.,Dog Food,Target,,,,,,,,,4.0,4.0,,,,,,
1718,Rachael Ray Nutrish,Rachael Ray Nutrish PEAK Grain-Free Dog Food,Rachael Ray Nutrish PEAK,Grain-free dog food made with real meat and vegetables.,Dog Food,Target,,,,,,,,,9.0,9.0,,,,,,
1719,Wellness,Wellness CORE Grain-Free High Protein Dog Food,Wellness CORE Grain-Free,High protein dog food made with turkey or chicken.,Dog Food,Target,,,,,,,,,7.0,7.0,,,,,,
1720,Pedigree,Pedigree Adult Complete Nutrition Chicken Flavor Dry Dog Food,Pedigree,Complete nutrition for adult dogs,Dog Food,Target,,,,,,,,,,,,,1.0,1.0,,
1721,Royal Canin,Royal Canin Size Health Nutrition Medium Adult 26-70 lbs Dry Dog Food,Royal Canin,Specifically formulated for medium dogs,Dog Food,Target,,,,,,,,,,,,,3.0,3.0,,
1722,Iams,Iams Adult MiniChunks Chicken & vegetables Recipe Dry Dog Food,Iams,Smart nutrition for smaller dogs,Dog Food,Target,,,,,,,,,,,,,5.0,5.0,,
1723,Merrick,Merrick Grain-Free Real Turkey & Sweet Potato Dry Dog Food,Merrick,Real deboned turkey recipe,Dog Food,Target,,,,,,,,,,,,,6.0,6.0,,
1724,Taste of the Wild,Taste of the Wild Ancient Prairie Fiesta with Bison & Roasted Venison Dry Dog Food,Taste of the Wild,High protein diet with roasted bison & venison,Dog Food,Target,,,,,,,,,,,,,7.0,7.0,,
1725,Wellness,Wellness Simple Limited Ingredient Diet Grain-Free Dry Dog Food Salmon & Potato Formula,Wellness,Grain-free with a single animal protein,Dog Food,Target,,,,,,,,,,,,,8.0,8.0,,
1726,Nature's Recipe,Nature's Recipe Healthy Skin Recipe Adult Grain-Free Dry Dog Food with Salmon,Nature's Recipe,Supports healthy skin & shiny coat,Dog Food,Target,,,,,,,,,,,,,9.0,9.0,,
1727,Hill's Science Diet,Hill's Science Diet Adult Perfect Weight Chicken & Barley Recipe Dry Dog Food,Hill's Science Diet,Helps maintain your dog's ideal weight,Dog Food,Target,,,,,,,,,,,,,10.0,10.0,,
1728,Royal Canin,Royal Canin Puppy Food,Royal Canin Puppy,Nutrition tailored to puppies' growth and development.,Dog Food,Target,,,,,,,,,3.0,3.0,,,,,,
1729,Iams,Iams Adult High Protein Adult Dog Food,Iams Adult High Protein,High-quality protein for adult dogs.,Dog Food,Target,,,,,,,,,4.0,4.0,,,,,,
1730,Rachel Ray Nutrish,Rachel Ray Nutrish Grain-Free Adult Dog Food,Rachel Ray Nutrish Grain-Free,Grain-free and gluten-free nutrition for adult dogs.,Dog Food,Target,,,,,,,,,7.0,7.0,,,,,,
1731,Purina,"Purina Pro Plan Adult Dog Food, Chicken and Rice",Pro Plan Adult,"High-quality protein, vitamins, and minerals to support overall health and well-being",Dog Food,Walmart,,,,,,,,,1.0,1.0,,,,,,
1732,Taste of the Wild,"Taste of the Wild High Prairie Adult Dog Food, Roasted Bison and Roasted Venison",High Prairie Adult,Real roasted meats and vegetables for a more natural diet,Dog Food,Walmart,,,,,,,,,2.0,2.0,,,,,,
1733,Iams,"Iams Adult Dog Food, Chicken and Whole Grains",Adult Chicken,High-quality protein from chicken and whole grains for overall health,Dog Food,Walmart,,,,,,,,,6.0,6.0,,,,,,
1734,Nutro,"Nutro Ultra Holistic Adult Dog Food, Lamb and Vegetables",Ultra Holistic Lamb,Wholesome ingredients and a holistic approach to support a happy and healthy life,Dog Food,Walmart,,,,,,,,,7.0,7.0,,,,,,
1735,Pedigree,"Pedigree Adult Dog Food, Meat and Vegetable",Adult Meat,Nutritious ingredients and vitamins to support a balanced diet,Dog Food,Walmart,,,,,,,,,9.0,9.0,,,,,,
1736,Royal Canin,"Royal Canin Adult Dog Food, Digestive Care",Digestive Care,Formulated for adult dogs with digestive sensitivities,Dog Food,Walmart,,,,,,,,,10.0,10.0,,,,,,
1737,Pedigree,Pedigree Adult Dog Food,Pedigree Adult,Pedigree Adult Dog Food is a complete and balanced dog food that supports healthy digestion and energy.,Dog Food,Walmart,,,,,,,,,4.0,4.0,,,1.0,1.0,,
1738,Rachael Ray Nutrish,Rachael Ray Nutrish Adult Dog Food,Nutrish Adult,Rachael Ray Nutrish Adult Dog Food is a natural dog food that features wholesome ingredients and no fillers.,Dog Food,Walmart,,,,,,,,,10.0,10.0,,,,,,
1739,Wellness,"Wellness Complete Health Adult Deboned Chicken, Turkey, & Salmon Recipe Grain-Free Dry Dog Food",Wellness,"Grain-free dry dog food with deboned chicken, turkey, and salmon.",Dog Food,Walmart,,,,,,,,,,,,,3.0,3.0,,
1740,Eukanuba,"Eukanuba Adult Dry Dog Food, High Performance Adult Chicken & Vegetable Formula",Eukanuba,Provides high-quality nutrition for your adult dog.,Dog Food,Walmart,,,,,,,,,,,,,6.0,6.0,,
1741,Iams,"Iams Adult Dry Dog Food, Chicken & Vegetable Recipe",Iams,Complete and balanced nutrition for your adult dog.,Dog Food,Walmart,,,,,,,,,,,,,7.0,7.0,,
1742,Merrick,"Merrick Classic Recipes Grain-Free Dry Dog Food, Real Chicken & Sweet Potato",Merrick,Grain-free dry dog food with real chicken and sweet potato as the main ingredients.,Dog Food,Walmart,,,,,,,,,,,,,8.0,8.0,,
1743,Taste of the Wild,Taste of the Wild High Prairie Grain-Free Premium Dry Dog Food with Roasted Bison & Roasted Venison,Taste of the Wild,Grain-free premium dry dog food with roasted bison & roasted venison.,Dog Food,Walmart,,,,,,,,,,,,,10.0,10.0,,
1744,Purina,Purina Dog Chow Complete Dog Food,Purina Dog Chow,A complete and balanced dog food for adult dogs.,Dog Food,Walmart,,,,,,,,,1.0,1.0,,,,,,
1745,Blue Buffalo,Blue Buffalo Life Protection Formula Dog Food,Blue Buffalo Life Protection,A holistic dog food with high-quality protein and whole grains.,Dog Food,Walmart,,,,,,,,,3.0,3.0,,,,,,
1746,Nutro,Nutro Ultra Holistic Dog Food,Nutro Ultra Holistic,A nutrient-rich dog food with high-quality protein and whole grains.,Dog Food,Walmart,,,,,,,,,7.0,7.0,,,,,,
1747,Iams,Iams ProActive Health Adult Mini Chunk Dry Dog Food,Iams,Nutritionally balanced for adult dogs,Dog Food,Walmart,,,,,,,,,,,,,7.0,7.0,,
1748,Hill's,Hill's Science Diet Small & Mini Adult Dry Dog Food,Hill's,Veterinary-recommended nutrition,Dog Food,Walmart,,,,,,,,,,,,,4.0,4.0,,
1749,Eukanuba,Eukanuba Adult Small Breed Dry Dog Food,Eukanuba,Nutritious and complete dog diet,Dog Food,Walmart,,,,,,,,,,,,,6.0,6.0,,
1750,Merrick,Merrick Backcountry Raw Infused Small Breed Grain-Free Dry Dog Food,Merrick,Grain-free recipe with raw-coated kibble,Dog Food,Walmart,,,,,,,,,,,,,8.0,8.0,,
1751,Nature's Recipe,Nature's Recipe Grain Free Dry Dog Food Small Breed Adult Recipe Chicken Meal & Sweet Potato,Nature's Recipe,Grain-free recipe with real chicken,Dog Food,Walmart,,,,,,,,,,,,,9.0,9.0,,
1752,Royal Canin,Royal Canin Indoor 27 Formula Cat Food,Royal Canin Indoor Cat Food,Balanced nutrition for indoor cats.,Dog Food,Metro,,,,,,,,,1.0,1.0,,,,,,
1753,Fancy Feast,Purina Fancy Feast Medley Dog Food,Purina Fancy Feast Dog Food,Combination of tastes and textures.,Dog Food,Metro,,,,,,,,,4.0,4.0,,,,,,
1754,Nutro,Nutro Ultra Dog Food,Nutro Ultra Dog Food,"Feed wallet friendly, without sacrificing quality.",Dog Food,Metro,,,,,,,,,10.0,10.0,,,,,,
1755,Whiskas,Whiskas Adult Dog Food with Real Chicken,Whiskas Adult,Real Chicken Formula for Adult Dogs,Dog Food,Metro,,,,,,,,,,,,,7.0,7.0,,
1756,Pro Plan,Pro Plan Sensitive Skin & Stomach Salmon & Rice Formula Dry Dog Food,Pro Plan Sensitive,Sensitive Skin & Stomach Formula for Adult Dogs,Dog Food,Metro,,,,,,,,,,,,,9.0,9.0,,
1757,Aqua Original,Aqua Original Dry Adult Dog Food with Salmon & Rice,Aqua Original Adult,Complete Nutrition with Salmon & Rice for Adult Dogs,Dog Food,Metro,,,,,,,,,,,,,10.0,10.0,,
1758,Acana,Acana Regionals Red Meat Dog Food,Acana Regionals Red Meat,"Featuring local and regional ingredients, Acana Regionals Red Meat Dog Food is a high-protein diet for adult dogs.",Dog Food,Metro,,,,,,,,,2.0,2.0,,,,,,
1759,Acana,Acana Adult Dog Food,Acana Dog Food,Locally sourced ingredients to promote optimal health and well-being.,Dog Food,Metro,,,,,,,,,2.0,2.0,,,,,,
1760,Pedigree,Pedigree Complete Nutrition Adult Medium & Maxi Breed Dry Dog Food,Pedigree Complete Nutrition,A balanced diet for adult medium and large breed dogs.,Dog Food,Metro,,,,,,,,,,,,,1.0,1.0,,
1761,Eukanuba,Eukanuba Adult Maintenance Dog Food Chicken & Vegetables,Eukanuba Adult Chicken & Vegetables,Formulated with high-quality protein from chicken.,Dog Food,Metro,,,,,,,,,,,,,4.0,4.0,,
1762,Victor,Victor Select Nutra-Chicken Dry Dog Food,Victor Nutra-Chicken,"A grain-free, high-protein dog food.",Dog Food,Metro,,,,,,,,,,,,,7.0,7.0,,
1763,Merrick,Merrick Gr gaining Stream Grain-Free Dry Dog Food Recipe with Real Deboned Salmon,Merrick Graining Stream Salmon,"Nutritious, grain-free dog food featuring wholesome salmon.",Dog Food,Metro,,,,,,,,,,,,,9.0,9.0,,
1764,Taste of the Wild,Taste of the Wild Grain-Free High Protein Real Roasted Salmon Dry Cat Food,Taste of the Wild Grain-Free Roasted Salmon,A high-protein cat food with roasted salmon as the first ingredient and no grains or fillers.,Cat Food,Costco,,,,,,,,,2.0,2.0,,,,,,
1765, Merrick,Merrick Grain-Free Salmon & Sweet Potato Formula Dry Cat Food,Merrick Grain-Free Salmon Formula,A grain-free cat food with salmon as the first ingredient and added vitamins and minerals.,Cat Food,Costco,,,,,,,,,3.0,3.0,,,,,,
1766,Wellness,Wellness CORE Grain-Free High Protein Salmon & Turkey Formula Dry Cat Food,Wellness CORE Grain-Free Salmon & Turkey,A high-protein cat food with turkey and salmon as the first ingredients and no grains or fillers.,Cat Food,Costco,,,,,,,,,4.0,4.0,,,,,,
1767,Blue Buffalo,Blue Buffalo Freedom Grain-Free Salmon Recipe Adult Dry Cat Food,Blue Buffalo Freedom Grain-Free Salmon,A grain-free cat food with salmon as the first ingredient and added antioxidants.,Cat Food,Costco,,,,,,,,,5.0,5.0,,,,,,
1768,Purina Pro Plan,Purina Pro Plan Focus Adult Salmon & Rice Formula Dry Cat Food,Purina Pro Plan Focus Salmon & Rice,A high-quality cat food with salmon as the first ingredient and added antioxidants.,Cat Food,Costco,,,,,,,,,7.0,7.0,,,,,,
1769,Nutro,Nutro Wholesome Essentials Adult Salmon & Brown Rice Formula Dry Cat Food,Nutro Wholesome Essentials Salmon & Brown Rice,A natural cat food with salmon as the first ingredient and no artificial preservatives.,Cat Food,Costco,,,,,,,,,9.0,9.0,,,,,,
1770,Fancy Feast,Fancy Feast Gourmet Salmon & Shrimp Formula Wet Cat Food,Fancy Feast Gourmet Salmon & Shrimp,A premium wet cat food with salmon and shrimp as the main ingredients.,Cat Food,Costco,,,,,,,,,10.0,10.0,,,,,,
1771,Purina,Purina One Tasty Cuts in Gravy Wet Cat Food,Purina One,Optimal protein sources for strong muscles,Cat Food,Costco,,,,,,,,,,,,,1.0,1.0,,
1772,Iams,Iams Proactive Health Kitten Chunks Wet Cat Food,Iams,Helps support healthy digestion,Cat Food,Costco,,,,,,,,,,,,,2.0,2.0,,
1773,Royal Canin,Royal Canin Feline Health Nutrition Expression Adult Dry Cat Food,Royal Canin,Supports healthy digestive system,Cat Food,Costco,,,,,,,,,,,,,3.0,3.0,,
1774,Hill's Science Diet,Hill's Science Diet Youthful Vitality Adult 7+ Indoor Cat Dry Food,Hill's Science,Formulated for cats aged 7+,Cat Food,Costco,,,,,,,,,,,,,5.0,5.0,,
1775,Nature's Recipe,Nature's Recipe Grain Free Dry Cat Food,Nature's Recipe,Grain-free dry food with premium proteins,Cat Food,Costco,,,,,,,,,,,,,8.0,8.0,,
1776,Rachel Ray Nutrish,"Rachel Ray Nutrish Indoor Complete Chicken, Brown Rice & Peas Recipe Dry Cat Food",Rachel Ray Nutrish,Complete nutrition for your indoor cat,Cat Food,Costco,,,,,,,,,,,,,9.0,9.0,,
1777,Friskies,Friskies Party Grill Wet Cat Food,Friskies,Party grill flavor that your cat will love,Cat Food,Costco,,,,,,,,,,,,,10.0,10.0,,
1778,Taste of the Wild,Taste of the Wild Grain-Free High Protein Dry Cat Food,Taste of the Wild Grain-Free,A grain-free and high-protein cat food inspired by your cat's ancestral diet.,Cat Food,Costco,,,,,,,,,5.0,5.0,,,,,,
1779,Purina Pro Plan,Purina Pro Plan Focus Adult Indoor Cat Food,Purina Pro Plan Focus Indoor,A nutrient-rich cat food that supports the unique needs of indoor cats.,Cat Food,Costco,,,,,,,,,3.0,3.0,,,,,,
1780,Merrick,Merrick Grain-Free High Protein Dry Cat Food,Merrick Grain-Free,A grain-free and high-protein cat food that provides a balanced mix of nutrients.,Cat Food,Costco,,,,,,,,,10.0,10.0,,,,,,
1781,Nutro,Nutro Wholesome Essentials Adult Cat Food,Nutro Wholesome Essentials,"A holistic cat food that provides a balanced mix of protein, whole grains, and vegetables.",Cat Food,Costco,,,,,,,,,10.0,10.0,,,,,,
1782,Fancy Feast,Fancy Feast Gourmet Indoor Cat Food,Fancy Feast Gourmet Indoor,A premium cat food that provides a delicious and balanced mix of nutrients for indoor cats.,Cat Food,Costco,,,,,,,,,10.0,10.0,,,,,,
1783,Dr. Elsey's,Dr. Elsey's Cleanprotein Natural Grain-Free Dry Cat Food,Dr. Elsey's,Grain-free recipe with high protein,Cat Food,Costco,,,,,,,,,,,,,7.0,7.0,,
1784,Merrick,Merrick Grain-Free Real Chicken & Sweet Potato Recipe Dry Cat Food,Merrick,"Grain-free, high protein recipe",Cat Food,Costco,,,,,,,,,,,,,8.0,8.0,,
1785,Nature's Logic,Nature's Logic Grain-Free Chicken Meal Feast Dry Cat Food,Nature's Logic,"Paleo-inspired, grain-free recipe",Cat Food,Costco,,,,,,,,,,,,,9.0,9.0,,
1786,Purina Pro Plan,Purina Pro Plan Indoor Cat Food,Purina Pro Plan Indoor,"A nutrient-rich cat food for indoor cats, with a focus on maintaining a healthy weight.",Cat Food,Costco,,,,,,,,,2.0,2.0,,,,,,
1787,Purina,Pro Plan Focus Sensitive Stomach Adult Cat Dry Cat Food,Pro Plan,Formulated for cats with sensitive stomachs,Cat Food,Costco,,,,,,,,,,,,,1.0,1.0,,
1788,Royal Canin,Royal Canin Feline Health Nutrition Urinary So Care Dry Cat Food,Royal Canin Urinary So Care,Provides urinary health benefits for cats,Cat Food,Costco,,,,,,,,,,,,,3.0,3.0,,
1789,Blue Buffalo,BLUE Freedom Grain-Free Adult Dry Cat Food,BLUE Freedom,Grain-free diet for adult cats,Cat Food,Costco,,,,,,,,,,,,,3.0,3.0,,
1790,Nature's Logic,Nature's Logic Canine Feline Multi-Protein Formula Dry Cat Food,Nature's Logic Multi-Protein,Formulation with multiple proteins for balanced nutrition,Cat Food,Costco,,,,,,,,,,,,,7.0,7.0,,
1791,Whiskas,Whiskas Super Crunchy Pub Classics Mixed Flavors Tasty Cat Snacks,Whiskas Super Crunchy,Crunchy snack variety pack,Cat Food,Costco,,,,,,,,,,,,,9.0,9.0,,
1792,Sheba,"Sheba Gourmet Wet Cat Food, Gourmet Wet Dinner Pate in Gravy, Turkey & Giblet Remix",Sheba Gourmet Wet Food,Gourmet wet food with turkey and giblets,Cat Food,Costco,,,,,,,,,,,,,10.0,10.0,,
1793,Hill's Science Diet,"Hill's Science Diet Adult Indoor Cat Food, 15.5 Pounds",Hill's Science Diet Indoor Cat Food,"Premium dry cat food for indoor cats, with natural ingredients and no artificial preservatives.",Cat Food,Amazon,,,,,,,,,4.0,4.0,,,,,,
1794,Purina Pro Plan,"Purina Pro Plan Cat Food With Probiotics for Digestive Health, 16 Pounds",Purina Pro Plan Cat Food With Probiotics,High-quality dry cat food with live probiotics to support digestive health.,Cat Food,Amazon,,,,,,,,,2.0,2.0,,,,,,
1795,Royal Canin,"Royal Canin Indoor Cat Food, 15 Pounds",Royal Canin Indoor Cat Food,"Nutritionally balanced dry cat food designed for indoor cats, with moderate calorie content.",Cat Food,Amazon,,,,,,,,,5.0,5.0,,,,,,
1796,Blue Buffalo,"Blue Buffalo Life Protection Formula Adult Cat Food, 15 Pounds",Blue Buffalo Adult Cat Food,"Holistic dry cat food with deboned chicken, whole grains, and antioxidants.",Cat Food,Amazon,,,,,,,,,4.0,4.0,,,,,,
1797,Fancy Feast,"Fancy Feast Medley Wet Cat Food Variety Pack, 24 Count",Fancy Feast Medley Wet Cat Food,"Premium wet cat food in a variety pack, with high-quality protein sources and no fillers.",Cat Food,Amazon,,,,,,,,,5.0,5.0,,,,,,
1798,Wellness,"Wellness CORE Grain-Free Wet Cat Food, 24 Count",Wellness CORE Grain-Free Wet Cat Food,"Natural, grain-free wet cat food with turkey or chicken as the first ingredient.",Cat Food,Amazon,,,,,,,,,6.0,6.0,,,,,,
1799,Iams,"Iams Proactive Health Adult Cat Food, 16 Pounds",Iams Proactive Health Cat Food,"Wholesome dry cat food with chicken as the first ingredient, and antioxidant-rich vitamins.",Cat Food,Amazon,,,,,,,,,8.0,8.0,,,,,,
1800,Taste of the Wild,"Taste of the Wild Grain-Free High Protein Cat Food, 14 Pounds",Taste of the Wild Grain-Free Cat Food,Grain-free dry cat food with roasted meats and a blend of ancient grains.,Cat Food,Amazon,,,,,,,,,7.0,7.0,,,,,,
1801,Merrick,"Merrick Grain-Free Wet Cat Food Variety Pack, 24 Count",Merrick Grain-Free Wet Cat Food,"High-quality, grain-free wet cat food with real meat and no artificial preservatives.",Cat Food,Amazon,,,,,,,,,9.0,9.0,,,,,,
1802,Rachael Ray Nutrish,"Rachael Ray Nutrish Natural Cat Food, 14 Pounds",Rachael Ray Nutrish Natural Cat Food,"Wholesome, natural dry cat food with farm-raised chicken and no fillers.",Cat Food,Amazon,,,,,,,,,10.0,10.0,,,,,,
